id,name,drinkable,weight,packsize,quantity,price,delivery,gramCost,url
,"cafedirect intense",1,227,,,3.75,,,https://www.sainsburys.co.uk/gol-ui/product/cafedirect-fairtrade-intense-roast-ground-coffee-227g
,"cafedirect kilimanjaro",1,227,,,3.75,,,https://www.sainsburys.co.uk/gol-ui/product/cafedirect-fairtrade-kilimanjaro-tanzania-ground-coffee-227g
,"cafedirect lively",1,227,,,3.75,,,https://www.sainsburys.co.uk/gol-ui/product/cafedirect-full-r-g-coffee-227g
,"cafedirect machu picchu",1,227,,,3.75,,,https://www.sainsburys.co.uk/gol-ui/product/caf%c3%a9direct-fairtrade-organic-machu-picchu-peru-ground-coffee-227g
,"cafedirect maya",1,227,,,3.75,,,https://www.sainsburys.co.uk/gol-ui/product/cafedirect-fairtrade-organic-mayan-gold-227g
,"cafedirect smooth",1,227,,,3.75,,,https://www.sainsburys.co.uk/gol-ui/product/cafedirect-fairtrade-smooth-roast-ground-coffee-227g
,"caffe di italia",,250,,,1,,,poundland
,"carte noire",1,250,,,3.5,,,https://www.sainsburys.co.uk/gol-ui/product/carte-noire-regular-bag-250g
,"change please ethiopia",1,200,,,4.5,,,https://www.sainsburys.co.uk/gol-ui/product/change-please-ethiopian-ground-coffee-200g
,"change please tom",1,200,,,4.5,,,https://www.sainsburys.co.uk/gol-ui/product/change-please-toms-blend-ground-coffee-200g
,"costa signature",1,200,,,3.7,,,https://www.sainsburys.co.uk/gol-ui/product/costa-roast---ground-refill-200g
,"grumpy mule",1,227,,,4.49,,,https://www.amazon.co.uk/dp/B00FC9GPKS
,hubbard's,1,227,,,1.09,,,https://www.sainsburys.co.uk/gol-ui/product/hubbards-r-g-coffee-227g
,illy,1,125,,,3.14,,,https://www.amazon.co.uk/dp/B0113NDACW
,illy,1,250,,,7,,,https://www.sainsburys.co.uk/gol-ui/product/illy-caffe-espresso-coffee-250g
,"illy intenso",1,125,,,3.14,,,https://www.amazon.co.uk/dp/B00FC9GM9W
,"illy intenso",1,250,,,7,,,https://www.sainsburys.co.uk/gol-ui/product/illy-dark-roast-ground-coffee-250g
,kenco,1,212,,,3.5,,,https://www.sainsburys.co.uk/gol-ui/product/kenco-barista-edition-smooth-ground-coffee-212g
,"kenco rich",1,212,,,3.5,,,https://www.sainsburys.co.uk/gol-ui/product/kenco-barista-edition-rich-ground-coffee-212g
,lavazza,1,250,,,3.6,,,https://www.sainsburys.co.uk/gol-ui/product/lavazza-qualita-rossa-ground-espresso-coffee-250g
,lavazza,1,250,2,,5.8,,,https://www.sainsburys.co.uk/gol-ui/product/lavazza-qualita-rossa-ground-coffee-twin-pack-espresso-x2-250g
,"lavazza crema",1,250,,,3.6,,,https://www.sainsburys.co.uk/gol-ui/product/lavazza-crema-e-gusto-coffee--espresso-250g
,"lavazza espresso",1,250,,,4.1,,,https://www.sainsburys.co.uk/gol-ui/product/lavazza-black-pack-ground-coffee--espresso-250g
,"lavazza oro",1,250,,,3.5,,,https://www.sainsburys.co.uk/gol-ui/product/lavazza-qualita-oro-ground-coffee-250g
,"modern standard colombia",1,227,,,4.5,,,https://www.sainsburys.co.uk/gol-ui/product/modern-standard-colombia-aromas-del-sur-coffee-227g
,percol,1,200,,,4,,,https://www.sainsburys.co.uk/gol-ui/product/percol-fairtrade-smooth-colombia-ground-coffee-200g
,"sainsbury's after dinner",1,227,,,2.3,,,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-omni-grind-coffee--continental-227g
,"sainsbury's colombia",1,227,,,3.5,,,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-fairtrade-colombian-coffee--taste-the-difference-227g
,"sainsbury's colombia (quinchia)",1,227,,,3.5,,,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-fairtrade-sundried-quinchia--taste-the-difference-227g
,"sainsbury's colombia",1,454,,,6.5,,,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-fairtrade-colombian--taste-the-difference-454g
